h,w,r,g,b
17,33,219,178,146
17,34,225,188,159
17,35,222,190,165
17,36,186,159,140
17,37,153,131,118
17,38,138,121,113
17,39,125,111,108
17,40,121,110,108
17,41,119,109,108
17,42,118,106,106
17,43,118,104,103
17,44,119,101,99
17,45,118,99,95
17,46,118,97,92
17,47,119,95,91
17,48,114,94,85
17,49,118,100,90
17,50,120,102,92
17,51,123,105,95
17,52,118,102,89
17,53,92,76,63
17,54,55,38,22
17,55,34,16,0
17,56,97,75,52
17,57,153,127,100
17,58,212,183,149
17,59,224,190,152
17,60,227,189,144
17,61,223,181,131
17,62,204,158,106
17,63,209,162,108
17,64,229,180,137
17,65,216,169,127
17,66,204,160,121
17,67,193,150,115
17,68,189,153,119
17,69,233,199,171
17,70,207,177,151
17,71,135,109,86
17,72,121,96,76
17,73,70,47,29
17,74,107,84,66
17,75,92,66,49
17,76,191,164,147
17,77,161,134,115
17,78,192,164,143
17,79,225,197,176
18,0,224,186,141
18,1,225,187,142
18,2,226,188,143
18,3,230,189,145
18,4,232,191,147
18,5,233,192,148
18,6,236,193,150
18,7,236,193,150
18,8,230,187,144
18,9,231,186,144
18,10,230,185,143
18,11,229,184,142
18,12,228,183,141
18,13,229,182,140
18,14,229,182,140
18,15,228,181,139
18,16,226,182,133
18,17,226,182,135
18,18,225,183,135
18,19,226,183,138
18,20,225,184,140
18,21,226,184,142
18,22,224,185,142
18,23,224,185,144
18,24,218,179,138
18,25,217,178,139
18,26,217,178,139
18,27,223,181,143
18,28,228,186,146
18,29,231,187,148
18,30,228,184,145
18,31,225,181,142
18,32,215,179,147
18,33,224,189,161
18,34,229,197,172
18,35,199,171,150
18,36,147,124,108
18,37,130,112,100
18,38,133,120,112
18,39,124,115,110
18,40,112,104,102
18,41,112,103,104
18,42,112,102,101
18,43,113,102,100
18,44,116,101,98
18,45,119,100,96
18,46,120,99,94
18,47,122,99,93
18,48,113,93,84
18,49,109,89,80
18,50,112,92,83
18,51,110,92,82
18,52,112,94,82
18,53,123,105,93
18,54,100,82,68
18,55,51,32,15
18,56,69,47,24
18,57,156,130,105
18,58,224,195,163
18,59,214,182,144
18,60,211,174,132
18,61,232,191,147
18,62,219,177,129
18,63,204,160,111
18,64,200,153,109
18,65,194,149,107
18,66,225,181,142
18,67,213,173,137
18,68,202,166,132
18,69,213,179,151
18,70,177,147,121
18,71,154,126,104
18,72,117,92,70
18,73,68,43,23
18,74,115,90,70
18,75,91,66,46
18,76,205,178,159
18,77,201,173,152
18,78,209,181,160
18,79,216,185,165
19,0,225,187,142
19,1,225,187,142
19,2,226,188,143
19,3,229,188,144
19,4,231,190,146
19,5,232,191,147
19,6,234,191,148
19,7,234,191,148
19,8,230,187,144
19,9,230,185,143
19,10,230,185,143
19,11,229,184,142
19,12,228,183,141
19,13,229,182,140
19,14,228,181,139
19,15,228,181,139
19,16,225,183,135
19,17,225,183,135
19,18,225,182,137
19,19,226,183,138
19,20,225,184,140
19,21,226,185,141
19,22,226,184,142
19,23,226,184,142
19,24,219,177,135
19,25,221,179,139
19,26,226,182,143
19,27,229,185,146
19,28,231,188,146
19,29,229,186,144
19,30,226,181,140
19,31,223,178,137
19,32,221,191,165
19,33,219,191,167
19,34,183,158,136
19,35,144,123,106
19,36,135,117,105
19,37,129,116,107
19,38,115,106,101
19,39,112,104,102
19,40,103,97,97
19,41,103,97,97
19,42,106,98,96
19,43,110,99,97
19,44,113,99,96
19,45,118,100,96
19,46,120,101,95
19,47,121,101,94
19,48,119,97,86
19,49,110,87,79
19,50,107,87,78
19,51,105,85,76
19,52,100,80,69
19,53,109,89,78
19,54,118,99,85
19,55,113,94,77
19,56,32,10,0
19,57,141,117,93
19,58,236,209,180
19,59,231,201,167
19,60,216,182,145
19,61,233,195,156
19,62,226,187,144
19,63,216,175,131
19,64,233,188,146
19,65,212,167,126
19,66,224,182,142
19,67,210,170,134
19,68,190,154,120
19,69,164,131,100
19,70,178,148,120
19,71,225,197,173
19,72,79,53,30
19,73,62,35,14
19,74,66,39,18
19,75,72,45,24
19,76,127,99,78
19,77,141,113,91
19,78,175,144,123
19,79,204,173,152
20,0,225,187,142
20,1,226,188,143
20,2,226,188,143
20,3,229,188,144
20,4,229,188,144
20,5,230,189,145
20,6,231,188,145
20,7,232,189,146
20,8,229,186,143
20,9,230,185,143
20,10,229,184,142
20,11,228,183,141
20,12,227,182,140
20,13,229,182,140
20,14,228,181,139
20,15,227,180,138
20,16,224,183,137
20,17,224,183,137
20,18,224,183,137
20,19,225,184,138
20,20,225,184,140
20,21,227,184,141
20,22,227,184,141
20,23,227,184,141
20,24,220,177,134
20,25,223,180,137
20,26,229,184,143
20,27,232,187,146
20,28,232,187,146
20,29,229,184,143
20,30,227,182,141
20,31,225,180,139
20,32,219,198,179
20,33,191,172,155
20,34,142,125,109
20,35,114,100,87
20,36,120,110,101
20,37,116,109,103
20,38,103,98,95
20,39,104,100,99
20,40,97,93,94
20,41,98,94,93
20,42,101,95,95
20,43,105,95,93
20,44,109,98,94
20,45,114,99,94
20,46,117,100,92
20,47,119,100,93
20,48,121,97,87
20,49,120,96,86
20,50,113,90,82
20,51,112,89,81
20,52,109,89,78
20,53,99,79,68
20,54,103,84,70
20,55,128,106,92
20,56,63,40,22
20,57,93,68,46
20,58,165,137,113
20,59,210,180,152
20,60,217,184,153
20,61,209,175,140
20,62,211,175,139
20,63,241,203,166
20,64,219,176,134
20,65,251,208,166
20,66,246,204,164
20,67,202,164,127
20,68,210,174,140
20,69,212,179,146
20,70,232,201,172
20,71,201,171,145
20,72,124,96,72
20,73,108,80,56
20,74,107,79,57
20,75,75,47,25
20,76,137,109,85
20,77,200,170,146
20,78,214,184,160
20,79,209,177,154
21,0,226,188,143
21,1,226,188,143
21,2,226,188,143
21,3,228,187,143
21,4,228,187,143
21,5,228,187,143
21,6,229,186,143
21,7,229,186,143
21,8,229,186,143
21,9,230,185,143
21,10,229,184,142
21,11,228,183,141
21,12,227,182,140
21,13,228,181,139
21,14,227,180,138
21,15,227,180,138
21,16,224,183,139
21,17,224,183,139
21,18,224,183,139
21,19,225,184,140
21,20,226,183,140
21,21,227,184,139
21,22,227,184,139
21,23,228,184,139
21,24,220,176,131
21,25,224,179,137
21,26,230,185,143
21,27,231,186,144
21,28,231,184,142
21,29,230,183,141
21,30,232,185,143
21,31,235,188,146
21,32,194,182,170
21,33,153,141,129
21,34,131,121,111
21,35,126,119,111
21,36,108,103,99
21,37,99,98,94
21,38,103,103,103
21,39,102,102,102
21,40,93,93,93
21,41,94,92,93
21,42,98,94,93
21,43,102,94,91
21,44,106,95,91
21,45,109,96,88
21,46,111,97,88
21,47,114,97,89
21,48,121,97,87
21,49,120,95,88
21,50,107,82,75
21,51,105,80,73
21,52,116,94,83
21,53,112,90,79
21,54,105,83,72
21,55,114,92,79
21,56,76,53,37
21,57,70,44,27
21,58,112,85,64
21,59,165,137,113
21,60,205,175,149
21,61,220,189,161
21,62,209,175,147
21,63,207,172,142
21,64,224,182,142
21,65,205,166,125
21,66,201,162,123
21,67,212,174,137
21,68,228,192,158
21,69,166,133,100
21,70,186,155,124
21,71,182,151,123
21,72,193,163,135
21,73,66,36,10
21,74,114,84,58
21,75,70,40,14
21,76,185,155,129
21,77,199,167,142
21,78,162,130,105
21,79,171,139,114
22,0,227,189,144
22,1,227,189,144
22,2,226,188,143
22,3,228,187,143
22,4,228,187,143
22,5,227,186,142
22,6,228,185,142
22,7,228,185,142
22,8,229,186,143
22,9,229,184,142
22,10,229,184,142
22,11,228,183,141
22,12,227,182,140
22,13,228,181,139
22,14,227,180,138
22,15,227,180,138
22,16,222,183,140
22,17,222,183,140
22,18,222,184,139
22,19,225,184,140
22,20,226,183,138
22,21,227,184,139
22,22,228,184,139
22,23,228,184,139
22,24,221,174,130
22,25,226,179,135
22,26,230,183,139
22,27,230,183,141
22,28,226,181,139
22,29,228,183,142
22,30,235,190,149
22,31,242,197,156
22,32,167,162,156
22,33,129,124,120
22,34,119,116,111
22,35,133,132,128
22,36,131,131,131
22,37,120,121,123
22,38,106,107,109
22,39,88,89,91
22,40,92,93,95
22,41,93,93,93
22,42,95,94,92
22,43,99,94,91
22,44,102,93,88
22,45,104,93,87
22,46,106,93,84
22,47,107,93,84
22,48,126,101,94
22,49,111,86,79
22,50,105,80,73
22,51,107,82,75
22,52,106,81,74
22,53,107,83,73
22,54,109,85,75
22,55,107,83,71
22,56,83,60,46
22,57,88,62,47
22,58,111,84,67
22,59,118,91,72
22,60,145,117,96
22,61,198,167,146
22,62,213,183,159
22,63,206,176,152
22,64,240,202,163
22,65,206,168,131
22,66,224,186,149
22,67,219,183,147
22,68,232,198,163
22,69,173,138,106
22,70,190,157,126
22,71,196,162,134
22,72,187,156,127
22,73,42,11,0
22,74,97,66,38
22,75,64,33,5
22,76,200,169,141
22,77,234,200,173
22,78,187,153,126
22,79,191,157,130
23,0,227,189,144
23,1,227,189,144
23,2,226,188,143
23,3,228,187,143
23,4,227,186,142
23,5,226,185,141
23,6,227,184,141
23,7,227,184,141
23,8,229,186,143
23,9,229,184,142
23,10,228,183,141
23,11,228,183,141
23,12,227,182,140
23,13,228,181,139
23,14,227,180,138
23,15,227,180,138
23,16,221,184,140
23,17,222,183,140
23,18,222,183,140
23,19,225,184,140
23,20,226,183,138
23,21,228,184,139
23,22,228,184,137
23,23,230,183,137
23,24,221,174,128
23,25,225,178,134
23,26,229,182,138
23,27,225,180,138
23,28,223,180,138
23,29,227,183,144
23,30,237,195,155
23,31,247,205,167
23,32,120,120,120
23,33,133,133,133
23,34,139,140,142
23,35,147,148,150
23,36,146,150,153
23,37,118,122,125
23,38,94,98,101
23,39,100,104,107
23,40,93,94,98
23,41,94,94,96
23,42,95,94,92
23,43,98,93,90
23,44,100,93,87
23,45,101,90,84
23,46,103,90,82
23,47,103,90,81
23,48,131,106,99
23,49,105,80,73
23,50,121,96,89
23,51,134,109,102
23,52,99,74,67
23,53,80,56,46
23,54,93,69,59
23,55,93,69,57
23,56,76,50,37
23,57,82,56,43
23,58,121,95,80
23,59,129,102,85
23,60,114,87,70
23,61,132,105,86
23,62,181,152,134
23,63,233,204,186
23,64,228,192,156
23,65,202,166,130
23,66,233,197,163
23,67,186,152,117
23,68,216,182,147
23,69,218,183,151
23,70,221,186,154
23,71,188,153,123
23,72,168,135,104
23,73,105,71,43
23,74,161,127,99
23,75,172,138,110
23,76,206,172,145
23,77,203,167,141
23,78,177,141,115
23,79,224,188,162
24,0,226,188,143
24,1,225,187,142
24,2,225,187,142
24,3,226,185,141
24,4,225,184,140
24,5,224,183,139
24,6,224,181,138
24,7,224,181,138
24,8,227,184,141
24,9,229,184,142
24,10,231,186,144
24,11,232,187,145
24,12,232,187,145
24,13,232,185,143
24,14,229,182,140
24,15,227,180,138
24,16,228,191,149
24,17,228,191,147
24,18,228,189,146
24,19,229,188,144
24,20,229,186,141
24,21,228,184,137
24,22,230,183,137
24,23,229,182,136
24,24,235,188,142
24,25,221,174,130
24,26,233,188,146
24,27,233,189,150
24,28,214,172,134
24,29,251,211,175
24,30,229,191,155
24,31,214,176,140
24,32,123,126,131
24,33,142,145,150
24,34,164,169,173
24,35,164,169,173
24,36,146,151,155
24,37,141,146,150
24,38,131,136,140
24,39,107,110,115
24,40,96,97,101
24,41,99,99,101
24,42,100,99,97
24,43,100,96,93
24,44,99,92,86
24,45,101,92,85
24,46,108,98,89
24,47,113,103,94
24,48,108,85,79
24,49,113,90,84
24,50,120,97,91
24,51,124,101,93
24,52,123,98,91
24,53,114,90,80
24,54,103,79,69
24,55,98,71,60
24,56,106,80,67
24,57,84,58,45
24,58,100,74,61
24,59,124,96,82
24,60,115,87,73
24,61,110,82,68
24,62,110,82,68
24,63,93,65,51
24,64,218,185,152
24,65,211,178,145
24,66,180,147,114
24,67,200,165,133
24,68,207,172,140
24,69,191,156,124
24,70,201,166,136
24,71,216,181,151
24,72,207,170,141
24,73,153,116,87
24,74,122,85,58
24,75,87,50,23
24,76,176,139,112
24,77,184,149,121
24,78,215,179,153
24,79,231,195,169
25,0,228,190,145
25,1,227,189,144
25,2,227,189,144
25,3,228,187,143
25,4,227,186,142
25,5,226,185,141
25,6,226,183,140
25,7,226,183,140
25,8,227,184,141
25,9,229,184,142
25,10,231,186,144
25,11,232,187,145
25,12,232,187,145
25,13,232,185,143
25,14,229,182,140
25,15,227,180,138
25,16,226,189,147
25,17,226,189,145
25,18,226,187,144
25,19,227,186,142
25,20,227,184,139
25,21,227,183,136
25,22,229,182,136
25,23,228,181,135
25,24,229,182,138
25,25,213,168,126
25,26,229,187,147
25,27,227,187,151
25,28,228,192,156
25,29,207,172,140
25,30,235,202,171
25,31,169,138,109
25,32,106,110,119
25,33,120,124,133
25,34,142,146,155
25,35,146,150,159
25,36,129,134,140
25,37,115,118,125
25,38,100,103,108
25,39,81,82,87
25,40,87,88,92
25,41,90,90,90
25,42,94,90,89
25,43,92,87,84
25,44,91,83,80
25,45,92,83,78
25,46,98,89,82
25,47,103,94,87
25,48,107,88,82
25,49,101,82,76
25,50,101,80,75
25,51,110,90,83
25,52,122,99,91
25,53,115,91,81
25,54,91,64,53
25,55,67,40,29
25,56,83,55,43
25,57,80,52,40
25,58,106,78,64
25,59,132,104,90
25,60,126,98,84
25,61,118,92,79
25,62,117,91,78
25,63,109,83,70
25,64,111,80,52
25,65,162,131,103
25,66,189,158,129
25,67,180,146,118
25,68,202,167,139
25,69,182,147,117
25,70,217,180,151
25,71,180,143,114
25,72,206,167,138
25,73,184,145,116
25,74,132,93,64
25,75,142,102,76
25,76,171,131,105
25,77,206,169,143
25,78,230,193,167
25,79,218,181,155
26,0,230,192,147
26,1,230,192,147
26,2,229,191,146
26,3,230,189,145
26,4,229,188,144
26,5,228,187,143
26,6,229,186,143
26,7,228,185,142
26,8,227,184,141
26,9,229,184,142
26,10,231,186,144
26,11,232,187,145
26,12,232,187,145
26,13,232,185,143
26,14,229,182,140
26,15,227,180,138
26,16,223,186,142
26,17,224,185,142
26,18,223,185,140
26,19,225,184,138
26,20,227,183,138
26,21,226,182,135
26,22,228,181,135
26,23,228,181,135
26,24,225,180,138
26,25,233,191,149
26,26,220,182,145
26,27,236,202,167
26,28,228,197,168
26,29,218,191,164
26,30,197,171,146
26,31,133,109,85
26,32,110,112,124
26,33,97,99,111
26,34,91,93,105
26,35,84,87,96
26,36,68,71,80
26,37,64,64,72
26,38,69,70,75
26,39,75,74,79
26,40,77,75,78
26,41,79,77,78
26,42,82,78,77
26,43,80,75,72
26,44,79,71,68
26,45,80,72,69
26,46,86,77,72
26,47,91,82,77
26,48,103,88,85
26,49,96,81,76
26,50,97,79,75
26,51,110,91,84
26,52,122,102,93
26,53,113,89,79
26,54,81,54,43
26,55,50,24,11
26,56,89,61,47
26,57,98,70,56
26,58,116,88,74
26,59,130,102,88
26,60,128,100,86
26,61,119,91,77
26,62,118,92,79
26,63,123,97,84
26,64,119,91,69
26,65,127,97,73
26,66,105,75,51
26,67,82,50,25
26,68,189,155,128
26,69,179,142,115
26,70,206,166,140
26,71,172,133,104
26,72,241,200,172
26,73,179,138,110
26,74,172,131,103
26,75,164,122,97
26,76,224,182,157
26,77,230,190,165
26,78,196,156,131
26,79,183,142,120
27,0,232,194,149
27,1,231,193,148
27,2,231,193,148
27,3,232,191,147
27,4,231,190,146
27,5,230,189,145
27,6,230,187,144
27,7,230,187,144
27,8,227,184,141
27,9,229,184,142
27,10,231,186,144
27,11,232,187,145
27,12,232,187,145
27,13,232,185,143
27,14,229,182,140
27,15,227,180,138
27,16,220,183,139
27,17,222,183,140
27,18,224,183,139
27,19,225,182,137
27,20,226,182,135
27,21,226,182,135
27,22,228,181,135
27,23,226,182,137
27,24,226,183,141
27,25,241,202,163
27,26,225,191,156
27,27,223,192,163
27,28,225,199,174
27,29,225,204,183
27,30,128,111,93
27,31,110,94,78
27,32,96,96,108
27,33,88,88,100
27,34,92,92,102
27,35,100,98,109
27,36,90,89,97
27,37,71,68,75
27,38,62,60,65
27,39,66,61,67
27,40,70,65,69
27,41,73,67,69
27,42,74,68,68
27,43,73,65,63
27,44,70,62,60
27,45,71,63,60
27,46,76,68,65
27,47,81,73,70
27,48,89,78,76
27,49,85,74,72
27,50,85,72,66
27,51,93,76,69
27,52,103,85,75
27,53,114,92,81
27,54,117,94,80
27,55,120,92,78
27,56,116,87,71
27,57,123,94,78
27,58,121,92,76
27,59,119,90,74
27,60,124,95,79
27,61,121,93,79
27,62,122,94,80
27,63,136,108,94
27,64,127,100,81
27,65,101,74,55
27,66,112,84,63
27,67,82,50,29
27,68,106,71,49
27,69,164,127,101
27,70,242,202,176
27,71,232,190,165
27,72,193,149,122
27,73,188,144,117
27,74,123,79,54
27,75,108,64,39
27,76,202,157,134
27,77,201,159,137
27,78,223,181,159
27,79,200,159,137
28,0,232,194,149
28,1,231,193,148
28,2,231,193,148
28,3,232,191,147
28,4,231,190,146
28,5,230,189,145
28,6,230,187,144
28,7,230,187,144
28,8,227,184,141
28,9,229,184,142
28,10,231,186,144
28,11,232,187,145
28,12,232,187,145
28,13,232,185,143
28,14,229,182,140
28,15,227,180,138
28,16,221,182,139
28,17,221,183,138
28,18,224,183,137
28,19,225,182,137
28,20,227,183,136
28,21,230,183,137
28,22,228,184,137
28,23,228,185,142
28,24,230,188,148
28,25,215,179,143
28,26,230,199,168
28,27,202,176,151
28,28,216,198,176
28,29,148,135,118
28,30,87,77,65
28,31,94,86,75
28,32,101,97,111
28,33,90,87,98
28,34,85,82,93
28,35,92,86,96
28,36,90,85,92
28,37,78,71,79
28,38,73,66,73
28,39,83,74,79
28,40,67,58,61
28,41,69,60,61
28,42,70,61,62
28,43,67,58,59
28,44,64,56,54
28,45,65,57,55
28,46,70,62,60
28,47,75,67,65
28,48,73,68,65
28,49,85,77,75
28,50,97,88,83
28,51,105,92,86
28,52,107,90,82
28,53,108,88,77
28,54,114,91,77
28,55,121,94,77
28,56,125,96,78
28,57,133,102,84
28,58,122,91,71
28,59,117,86,68
28,60,132,103,85
28,61,136,107,91
28,62,132,103,87
28,63,138,111,94
28,64,133,107,94
28,65,115,89,74
28,66,118,89,73
28,67,122,91,73
28,68,98,63,43
28,69,130,92,71
28,70,124,82,58
28,71,181,137,112
28,72,160,114,90
28,73,185,139,115
28,74,151,105,81
28,75,108,62,39
28,76,122,77,54
28,77,203,158,137
28,78,163,120,101
28,79,184,141,122
29,0,230,192,147
29,1,230,192,147
29,2,229,191,146
29,3,230,189,145
29,4,229,188,144
29,5,228,187,143
29,6,229,186,143
29,7,228,185,142
29,8,227,184,141
29,9,229,184,142
29,10,231,186,144
29,11,232,187,145
29,12,232,187,145
29,13,232,185,143
29,14,229,182,140
29,15,227,180,138
29,16,222,184,139
29,17,224,183,139
29,18,226,183,138
29,19,227,185,137
29,20,230,186,139
29,21,233,186,140
29,22,232,188,143
29,23,232,189,146
29,24,235,196,157
29,25,217,183,148
29,26,214,187,158
29,27,228,208,184
29,28,166,153,136
29,29,75,67,56
29,30,82,78,69
29,31,94,93,88
29,32,87,79,92
29,33,85,77,90
29,34,80,72,83
29,35,84,74,85
29,36,88,78,87
29,37,80,69,77
29,38,69,58,64
29,39,71,59,63
29,40,64,52,54
29,41,66,54,56
29,42,65,55,56
29,43,63,53,54
29,44,59,49,50
29,45,59,50,51
29,46,64,55,56
29,47,70,61,62
29,48,64,63,61
29,49,71,67,66
29,50,82,74,71
29,51,90,79,73
29,52,98,84,75
29,53,107,87,76
29,54,115,92,76
29,55,122,95,78
29,56,126,98,77
29,57,138,107,86
29,58,134,102,81
29,59,132,100,79
29,60,145,114,94
29,61,145,114,94
29,62,127,98,80
29,63,120,91,73
29,64,110,86,76
29,65,124,97,86
29,66,147,119,107
29,67,178,146,133
29,68,138,102,86
29,69,231,193,174
29,70,212,170,148
29,71,195,150,127
29,72,164,116,93
29,73,174,126,103
29,74,160,112,89
29,75,217,169,147
29,76,210,163,143
29,77,199,154,135
29,78,193,147,131
29,79,173,130,113
30,0,228,190,145
30,1,227,189,144
30,2,227,189,144
30,3,228,187,143
30,4,227,186,142
30,5,226,185,141
30,6,226,183,140
30,7,226,183,140
30,8,227,184,141
30,9,229,184,142
30,10,231,186,144
30,11,232,187,145
30,12,232,187,145
30,13,232,185,143
30,14,229,182,140
30,15,227,180,138
30,16,226,185,141
30,17,226,185,139
30,18,229,186,141
30,19,231,187,140
30,20,233,189,142
30,21,237,190,144
30,22,236,192,147
30,23,235,193,151
30,24,236,198,159
30,25,234,201,168
30,26,214,188,161
30,27,218,201,181
30,28,102,93,78
30,29,63,59,50
30,30,81,82,77
30,31,91,93,90
30,32,95,84,98
30,33,102,90,102
30,34,94,82,94
30,35,87,75,85
30,36,94,81,90
30,37,90,77,84
30,38,76,61,66
30,39,69,54,57
30,40,59,44,47
30,41,61,46,49
30,42,59,47,49
30,43,56,46,47
30,44,52,42,43
30,45,52,43,44
30,46,58,49,52
30,47,61,55,57
30,48,70,70,70
30,49,74,73,71
30,50,82,78,75
30,51,91,82,77
30,52,97,84,75
30,53,100,82,68
30,54,98,75,59
30,55,97,70,51
30,56,127,96,75
30,57,141,109,88
30,58,144,112,89
30,59,140,108,85
30,60,143,111,90
30,61,143,111,90
30,62,130,99,79
30,63,119,88,68
30,64,123,100,94
30,65,224,199,192
30,66,219,191,180
30,67,223,193,182
30,68,208,172,158
30,69,218,179,162
30,70,223,180,161
30,71,255,217,194
30,72,224,176,154
30,73,182,132,109
30,74,210,159,138
30,75,228,180,160
30,76,225,178,160
30,77,212,165,147
30,78,206,160,144
30,79,217,171,156
31,0,226,188,143
31,1,225,187,142
31,2,225,187,142
31,3,226,185,141
31,4,225,184,140
31,5,224,183,139
31,6,224,181,138
31,7,224,181,138
31,8,227,184,141
31,9,229,184,142
31,10,231,186,144
31,11,232,187,145
31,12,232,187,145
31,13,232,185,143
31,14,229,182,140
31,15,227,180,138
31,16,227,186,142
31,17,228,187,141
31,18,230,187,142
31,19,233,189,142
31,20,235,191,144
31,21,239,192,146
31,22,239,195,150
31,23,238,196,154
31,24,231,193,156
31,25,227,196,165
31,26,242,218,192
31,27,145,130,111
31,28,76,68,57
31,29,66,66,58
31,30,78,80,77
31,31,68,74,74
31,32,102,90,102
31,33,109,95,108
31,34,90,77,87
31,35,71,58,67
31,36,79,64,71
31,37,83,68,75
31,38,72,55,61
31,39,64,48,51
31,40,55,39,42
31,41,55,41,41
31,42,54,42,44
31,43,51,39,41
31,44,47,37,38
31,45,47,38,41
31,46,52,43,46
31,47,56,50,52
31,48,77,78,80
31,49,75,75,75
31,50,75,71,68
31,51,77,70,64
31,52,85,72,63
31,53,97,79,65
31,54,112,89,73
31,55,123,96,77
31,56,117,86,65
31,57,133,101,78
31,58,143,108,86
31,59,137,102,80
31,60,133,101,78
31,61,142,110,89
31,62,148,116,95
31,63,144,113,93
31,64,144,121,115
31,65,251,226,221
31,66,208,181,172
31,67,204,174,163
31,68,241,205,191
31,69,199,160,143
31,70,204,161,142
31,71,187,140,120
31,72,207,159,137
31,73,255,225,204
31,74,236,185,164
31,75,180,132,112
31,76,109,60,43
31,77,179,132,116
31,78,203,157,142
31,79,210,164,149
32,0,231,184,138
32,1,231,184,140
32,2,229,185,140
32,3,228,185,142
32,4,227,185,143
32,5,227,185,145
32,6,225,186,145
32,7,224,186,147
32,8,232,194,155
32,9,233,195,156
32,10,232,194,155
32,11,228,189,150
32,12,223,184,143
32,13,222,183,142
32,14,228,186,146
32,15,232,190,148
32,16,242,175,130
32,17,243,176,131
32,18,244,180,134
32,19,247,186,141
32,20,246,189,144
32,21,242,189,147
32,22,234,186,146
32,23,226,183,148
32,24,238,203,173
32,25,219,191,169
32,26,214,193,176
32,27,98,81,73
32,28,94,84,82
32,29,55,49,53
32,30,83,80,87
32,31,129,127,138
32,32,70,68,79
32,33,100,98,109
32,34,88,87,95
32,35,70,67,76
32,36,80,77,84
32,37,72,67,73
32,38,51,45,49
32,39,58,49,52
32,40,56,46,47
32,41,55,43,43
32,42,47,33,32
32,43,40,26,23
32,44,51,36,33
32,45,67,52,47
32,46,70,52,48
32,47,59,42,35
32,48,63,46,39
32,49,75,60,53
32,50,86,72,63
32,51,87,74,65
32,52,88,78,66
32,53,96,87,72
32,54,100,91,76
32,55,101,88,72
32,56,107,90,74
32,57,118,95,79
32,58,143,111,96
32,59,139,97,83
32,60,160,110,99
32,61,176,119,108
32,62,171,108,99
32,63,118,54,45
32,64,163,95,74
32,65,237,171,149
32,66,232,170,145
32,67,176,119,92
32,68,215,164,135
32,69,202,156,123
32,70,195,152,118
32,71,177,134,102
32,72,176,133,101
32,73,210,165,136
32,74,244,196,173
32,75,200,145,125
32,76,132,73,57
32,77,253,186,177
32,78,198,129,122
32,79,237,166,160
33,0,231,184,140
33,1,229,185,140
33,2,229,185,140
33,3,228,185,142
33,4,227,185,143
33,5,227,185,145
33,6,225,186,145
33,7,225,186,147
33,8,231,193,154
33,9,232,194,155
33,10,233,194,155
33,11,228,189,148
33,12,223,184,143
33,13,224,182,140
33,14,228,186,144
33,15,233,191,149
33,16,249,186,142
33,17,247,184,140
33,18,241,180,135
33,19,235,176,132
33,20,231,177,133
33,21,232,183,142
33,22,238,194,157
33,23,242,203,170
33,24,231,197,169
33,25,255,231,210
33,26,149,130,115
33,27,76,61,54
33,28,59,49,48
33,29,68,63,67
33,30,125,122,131
33,31,121,119,130
33,32,53,51,62
33,33,79,77,88
33,34,90,88,99
33,35,85,82,91
33,36,85,82,91
33,37,86,81,88
33,38,69,62,69
33,39,53,44,49
33,40,48,37,41
33,41,48,36,38
33,42,48,36,36
33,43,52,38,37
33,44,54,39,36
33,45,54,39,34
33,46,58,40,36
33,47,62,44,40
33,48,68,51,44
33,49,79,64,57
33,50,87,74,65
33,51,86,73,64
33,52,85,75,63
33,53,91,82,67
33,54,94,85,70
33,55,94,81,65
33,56,116,99,83
33,57,109,83,68
33,58,128,96,81
33,59,144,102,88
33,60,171,122,108
33,61,164,107,96
33,62,149,86,77
33,63,108,44,34
33,64,232,164,143
33,65,200,134,112
33,66,197,135,110
33,67,191,134,107
33,68,160,106,78
33,69,142,96,63
33,70,186,141,108
33,71,184,141,109
33,72,178,135,103
33,73,190,146,117
33,74,198,150,127
33,75,229,177,156
33,76,110,51,35
33,77,166,102,92
33,78,203,135,126
33,79,232,163,156
34,0,229,185,140
34,1,229,185,140
34,2,228,185,142
34,3,228,185,142
34,4,227,185,143
34,5,227,185,143
34,6,225,186,145
34,7,225,186,145
34,8,231,192,151
34,9,232,193,152
34,10,232,193,152
34,11,230,188,146
34,12,225,183,141
34,13,226,183,141
34,14,230,187,144
34,15,235,192,149
34,16,246,189,146
34,17,243,185,145
34,18,238,183,142
34,19,236,184,144
34,20,238,189,149
34,21,238,194,157
34,22,237,197,162
34,23,233,198,168
34,24,236,208,184
34,25,197,174,156
34,26,121,103,91
34,27,71,58,52
34,28,44,35,36
34,29,70,65,72
34,30,104,102,113
34,31,126,126,138
34,32,86,84,97
34,33,85,83,96
34,34,98,96,109
34,35,102,99,110
34,36,88,85,94
34,37,85,80,87
34,38,80,73,80
34,39,62,53,58
34,40,51,40,44
34,41,44,34,35
34,42,47,35,35
34,43,60,46,46
34,44,60,46,45
34,45,51,36,33
34,46,49,34,31
34,47,58,43,40
34,48,70,55,48
34,49,82,67,60
34,50,87,74,66
34,51,84,71,62
34,52,81,71,59
34,53,86,76,64
34,54,91,79,65
34,55,89,76,60
34,56,119,102,86
34,57,118,92,75
34,58,144,111,96
34,59,154,112,98
34,60,151,102,88
34,61,110,54,41
34,62,98,36,25
34,63,92,28,18
34,64,201,133,112
34,65,232,166,144
34,66,179,115,90
34,67,190,130,104
34,68,241,188,157
34,69,220,171,139
34,70,184,139,106
34,71,229,186,152
